Species,Use,Order,Taxon,Family,Class,Type,Calc,BM,Tbmin,Mrmin,PBMR,Boutmax,Boutmean,Source,lat,ta,prec,IBE
Cynomys parvidens,Cynomys parvidens,RODENTIA,Plac,NA,MAMMALIA,HIB,1,800,6,NA,NA,418,252,Lehmer & Biggins 2005,38.49,6.149,22.76,9.6
Dasycercus cristicauda,Dasycercus cristicauda,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,100,10.8,0.12,23,20.8,5.8,McMillen & Nelson 1969; Geiser & Masters 1994; K_rtner et al. 2008,-25.02,22.616,20.59,
Dasykaluta rosamondae,Dasykaluta rosamondae,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,27,21,NA,NA,16.4,12.3,K_rtner et al. 2010 females,-22.58,23.761,22.02,
Dasyuroides byrnei,Dasyuroides byrnei,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,120,20.4,0.4,54,7.5,2.7,Geiser & Baudinette 1987,-26.08,22.707,20.57,
Dasyurus geoffroii,Dasyurus geoffroii,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,1000,23.1,NA,NA,NA,NA,Arnold 1976,-33.17,15.433,47.24,
Dasyurus hallucatus,Dasyurus hallucatus,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,516,28.4,NA,NA,NA,NA,Cooper & Withers 2010,-18,24.505,76.89,
Dasyurus viverrinus,Dasyurus viverrinus,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,1000,25,NA,NA,NA,NA,Moyle ,-41.61,10.505,71.08,
Dromiciops gliroides,Dromiciops gliroides,MICROBIOTHERIA,Plac,NA,MAMMALIA,HIB,1,40.2,7.1,0.03,3.8,144,120,Grant & Temple-Smith 1987; Bozinovic et al. 2004; Franco et al. 2012,-39.86,9.093,106.14,7
Echinops telfairi,Echinops telfairi,AFROSORICIDA,Plac,NA,MAMMALIA,HIB,1,85,11,0.026,2,264,162,Dryden et al. 1974; Scholl 1974,-22.58,23.645,57.94,12
Elephantulus edwardii,Elephantulus edwardii,MACROSCELIDEA,Plac,NA,MAMMALIA,HIB,1,45,9.3,NA,NA,44,17.3,Geiser & Mzilikazi 2011,-31.59,16.12,22.65,8.5
Elephantulus myurus,Elephantulus myurus,MACROSCELIDEA,Plac,NA,MAMMALIA,HIB,1,57,5.5,0.078,7,39,8.8,Lovegrove et al. 2001; Mzilikazi & Lovegrove 2004; McKechnie & Mzilikazi 2011,-23.07,19.183,56.42,15.2
Elephantulus rozeti,Elephantulus rozeti,MACROSCELIDEA,Plac,NA,MAMMALIA,DT,1,45,5.1,0.023,2,20.1,13.6,Lovegrove et al. 2001,32.6,17.009,24.66,
Elephantulus rupestris,Elephantulus rupestris,MACROSCELIDEA,Plac,NA,MAMMALIA,DT,1,60,12,NA,NA,12,5,Oelkrug et al. 2012,-25.59,17.018,17.96,
Eliomys quercinus,Eliomys quercinus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,70,1,0.034,3,480,336,Kayser 1964; Pajunen 1983,42.91,11.239,44.52,12
Eptesicus fuscus,Eptesicus fuscus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,14.7,1,0.03,3,600,488,Kulzer 1965; French 1985; Willis et al. 2005,31.15,11.512,63.98,2
Erinaceus europaeus,Erinaceus europaeus,INSECTIVORA,Plac,NA,MAMMALIA,HIB,1,700,5.4,0.01,2.5,288,213,Kristoffersson & Soivio 1964; Thaeti 1978,53.78,6.039,54.11,22.1
Fukomys damarensis,Cryptomys damarensis,RODENTIA,Plac,NA,MAMMALIA,DT,1,145,28.5,NA,NA,NA,NA,Streicher 2010,-18.37,21.187,59.7,
Galago moholi,Galago moholi,PRIMATES,Plac,NA,MAMMALIA,DT,1,180,21.8,0.09,10,6.5,5,Nowack et al. 2010,-13.46,21.73,80.12,
Geogale aurita,Geogale aurita,AFROSORICIDA,Plac,NA,MAMMALIA,DT,1,6,16,0.15,13,NA,NA,Stephenson & Racey 1993,-22.55,23.607,57.89,
Gerbillus pusillus,Gerbillus pusillus,RODENTIA,Plac,NA,MAMMALIA,DT,1,12.6,16.7,0.38,43,20,9,Buffenstein 1985,0.57,23.755,51.53,
Glirulus japonicus,Glirulus japonicus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,25,NA,NA,NA,380,254,Otsu & Kimura 1993,34.25,11.654,150.46,
Glis glis,Glis glis,RODENTIA,Plac,NA,MAMMALIA,HIB,1,200,1,0.026,3,977,222,"Wyss 1932; Kayser 1939, 1961; Pengelley & Fisher 1961; Bieber&Ruf 2009; Bieber&Ruf unpublished",45.93,7.36,56.59,6.7
Glossophaga soricina,Glossophaga soricina,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,10,21,0.23,9,17.5,11.4,Kelm & von Helversen 2007,-2.61,23.099,141.96,
Gracilinanus agilis,Gracilinanus agilis,DIDELPIMORPHIA,Mars,NA,MAMMALIA,DT,1,29.1,20,0.3,30,NA,NA,Cooper et al. 2009,-18.71,22.976,118.36,
Graphiurus murinus,Graphiurus murinus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,28,1.5,NA,NA,192,33,Mzilikazi et al. 2012,-10.12,21.712,67.55,
Graphiurus ocularis,Graphiurus ocularis,RODENTIA,Plac,NA,MAMMALIA,HIB,1,68,NA,NA,NA,312,176,Perrin & Ridgard 1999,-30.24,16.578,27.53,16
Hipposideros terasensis,Hipposideros armiger,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,57,13.8,0.046,7,456,185,"Liu & Karasov 2011, 2012",17.13,18.589,143.35,1.8
Ictidomys tridecemlineatus,Spermophilus tridecemlineatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,140,1.5,NA,NA,456,336,Kisser & Goodwin 2012,41.11,8.037,46.7,14.4
Jaculus orientalis,Jaculus orientalis,RODENTIA,Plac,NA,MAMMALIA,HIB,1,170,10,NA,NA,158,77,Ouezzani et al. 2011,29.53,20.972,7.23,24
Lasiurus borealis,Lasiurus borealis,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,11,3,0.035,2,260,190,Dunbar & Tomasi 2006,36.39,11.977,87.53,2.83
Lasiurus cinereus,Lasiurus cinereus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,33,2,NA,NA,135,105,Cryan & Wolf 2003; Willis et al. 2006 (pregnant),12.6,11.57,75.42,
Macroglossus minimus,Macroglossus minimus,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,16,21.6,0.52,40,9.5,6.7,Bartels et al. 1998,-1.28,24.802,194.34,
Macroscelides proboscideus,Macroscelides proboscideus,MACROSCELIDEA,Plac,NA,MAMMALIA,DT,1,46,9.4,NA,NA,18,10.7,Lovegrove et al. 1999,-26.24,16.487,18.81,
Marmosa microtarsus,Marmosa mexicana,DIDELPIMORPHIA,Mars,NA,MAMMALIA,DT,1,13,16,0.25,18,9,NA,Morrison & McNab 1962 ,15.53,23.343,146.72,
Marmota broweri,Marmota broweri,RODENTIA,Plac,NA,MAMMALIA,HIB,1,3094,NA,NA,NA,480,334,Lee et al. 2009,68.5,-14.348,12.79,18.4
Marmota flaviventris,Marmota flaviventris,RODENTIA,Plac,NA,MAMMALIA,HIB,1,2500,7.5,0.022,9,360,206,Florant & Heller 1977; Florant et al. 2000,42.67,5.947,30.39,15
Marmota marmota,Marmota marmota,RODENTIA,Plac,NA,MAMMALIA,HIB,1,3100,2.4,0.013,4,353,280,"Arnold, Ortmann Heldmaier ; Ruf & Arnold 2000 (jungholz); Ruf&Arnold unpublished.",46.15,4.667,83.37,27.8
Marmota monax,Marmota monax,RODENTIA,Plac,NA,MAMMALIA,HIB,1,3400,5,0.014,5,364,185,Lyman 1958; Armitage et al. 2000; Zervanos et al. 2010,48.68,2.67,58.82,28.3
Megaloglossus woermanni,Megaloglossus woermanni,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,12,26.2,0.8,50,NA,NA,Kulzer & Storf 1980,-1.12,24.283,144.91,
